,team_id,season_id,league_id,team_income_fee,team_expenditure_fee,overall_balance_fee
323,366,2018,3,0,10100000,-10100000
324,27,2018,4,84000000,14000000,70000000
325,33,2018,4,46150000,62200000,-16050000
326,533,2018,4,6120000,32000000,-25880000
327,16,2018,4,114200000,90500000,23700000
328,15,2018,4,45000000,31500000,13500000
329,23826,2018,4,72750000,65630000,7120000
330,79,2018,4,13250000,45760000,-32510000
331,24,2018,4,18900000,28950000,-10050000
332,18,2018,4,32950000,32550000,400000
333,44,2018,4,16900000,16000000,900000
334,86,2018,4,26850000,25800000,1050000
335,167,2018,4,2850000,6650000,-3800000
336,42,2018,4,13540000,18520000,-4980000
337,39,2018,4,56100000,30000000,26100000
338,60,2018,4,22680000,18400000,4280000
339,82,2018,4,800000,36000000,-35200000
340,38,2018,4,600000,7500000,-6900000
341,4,2018,4,0,4850000,-4850000
342,800,2018,5,25060000,60800000,-35740000
343,1025,2018,5,44990000,31220000,13770000
344,1390,2018,5,7850000,22500000,-14650000
345,862,2018,5,17620000,9470000,8150000
346,430,2018,5,43390000,60770000,-17380000
347,8970,2018,5,800000,9560000,-8760000
348,252,2018,5,84360000,59070000,25290000
349,46,2018,5,91170000,97600000,-6430000
350,506,2018,5,112540000,263200000,-150660000
351,398,2018,5,38600000,51280000,-12680000
352,5,2018,5,88100000,194640000,-106540000
353,6195,2018,5,100800000,71000000,29800000
354,130,2018,5,596000,20400000,-19804000
355,12,2018,5,150470000,166350000,-15880000
356,1038,2018,5,90120000,56450000,33670000
357,6574,2018,5,50380000,53970000,-3590000
358,2722,2018,5,1850000,21900000,-20050000
359,416,2018,5,17200000,53150000,-35950000
360,410,2018,5,13530000,52900000,-39370000
361,1416,2018,6,10000000,7490000,2510000
362,1420,2018,6,21000000,4450000,16550000
363,40,2018,6,50700000,21460000,29240000
364,1162,2018,6,14500000,9950000,4550000
365,2969,2018,6,4000000,9200000,-5200000
366,855,2018,6,4000000,3500000,500000
367,1082,2018,6,69700000,8900000,60800000
368,1041,2018,6,90100000,46450000,43650000
369,244,2018,6,32850000,66000000,-33150000
370,162,2018,6,367250000,145850000,221400000
371,969,2018,6,25500000,10150000,15350000
372,995,2018,6,11200000,14350000,-3150000
373,417,2018,6,61700000,28000000,33700000
374,1160,2018,6,0,3150000,-3150000
375,583,2018,6,114000000,262000000,-148000000
376,1421,2018,6,11000000,15500000,-4500000
377,273,2018,6,18500000,18000000,500000
378,618,2018,6,18700000,15000000,3700000
379,667,2018,6,14000000,15750000,-1750000
380,415,2018,6,35500000,18450000,17050000
381,281,2019,2,71000000,166820000,-95820000
382,31,2019,2,48000000,10400000,37600000
383,631,2019,2,157270000,45000000,112270000
384,148,2019,2,64500000,150500000,-86000000
385,11,2019,2,53650000,160800000,-107150000
386,985,2019,2,81180000,236800000,-155620000
387,543,2019,2,24100000,116700000,-92600000
388,29,2019,2,87800000,121000000,-33200000
389,1003,2019,2,88500000,104300000,-15800000
390,379,2019,2,55480000,119800000,-64320000
391,1010,2019,2,25400000,56000000,-30600000
392,873,2019,2,55380000,7600000,47780000
393,762,2019,2,35640000,72900000,-37260000
394,989,2019,2,34630000,54910000,-20280000
395,1132,2019,2,13550000,23850000,-10300000
396,180,2019,2,27300000,61500000,-34200000
397,1237,2019,2,8500000,61740000,-53240000
398,1123,2019,2,2200000,8820000,-6620000
399,350,2019,2,350000,70500000,-70150000
400,405,2019,2,3000000,159500000,-156500000
401,131,2019,3,152900000,298500000,-145600000
402,13,2019,3,316300000,247350000,68950000
403,418,2019,3,136800000,355500000,-218700000
404,3709,2019,3,11250000,21500000,-10250000
405,1049,2019,3,56300000,75000000,-18700000
406,368,2019,3,131450000,188730000,-57280000
407,621,2019,3,0,0,0
408,681,2019,3,9500000,31750000,-22250000
409,714,2019,3,60000000,61500000,-1500000
410,1108,2019,3,22500000,11770000,10730000
411,1533,2019,3,27000000,17300000,9700000
412,1244,2019,3,40820000,16450000,24370000
413,150,2019,3,72000000,96450000,-24450000
414,1050,2019,3,69300000,43800000,25500000
415,3368,2019,3,14900000,14600000,300000
416,366,2019,3,8000000,1400000,6600000
417,940,2019,3,40650000,24600000,16050000
418,331,2019,3,300000,14450000,-14150000
419,16795,2019,3,300000,11240000,-10940000
420,237,2019,3,0,7500000,-7500000
421,27,2019,4,54000000,139500000,-85500000
422,16,2019,4,132250000,148500000,-16250000
423,23826,2019,4,45250000,86500000,-41250000
424,15,2019,4,33500000,98200000,-64700000
425,18,2019,4,34100000,40500000,-6400000
426,82,2019,4,14300000,34800000,-20500000
427,24,2019,4,114800000,82640000,32160000
428,86,2019,4,0,13950000,-13950000
429,533,2019,4,121400000,55850000,65550000
430,38,2019,4,11600000,11150000,450000
431,44,2019,4,23450000,110700000,-87250000
432,39,2019,4,27000000,29700000,-2700000
433,60,2019,4,8100000,17500000,-9400000
434,33,2019,4,19450000,29500000,-10050000
435,167,2019,4,20000000,33000000,-13000000
436,3,2019,4,6850000,20250000,-13400000
437,127,2019,4,5800000,750000,5050000
438,89,2019,4,1250000,10050000,-8800000
439,800,2019,5,105100000,60060000,45040000
440,1025,2019,5,28680000,67040000,-38360000
441,19,2019,5,100000,18650000,-18550000
442,1390,2019,5,18860000,40100000,-21240000
443,430,2019,5,15320000,56540000,-41220000
444,252,2019,5,66350000,50370000,15980000
445,276,2019,5,43670000,21190000,22480000
446,46,2019,5,66740000,191720000,-124980000
447,506,2019,5,203140000,230500000,-27360000
448,398,2019,5,35350000,49950000,-14600000
449,1005,2019,5,450000,6200000,-5750000
450,5,2019,5,59230000,124080000,-64850000
451,6195,2019,5,48720000,206520000,-157800000
452,130,2019,5,18160000,23310000,-5150000
453,12,2019,5,106380000,117400000,-11020000
454,1038,2019,5,74590000,65250000,9340000
455,6574,2019,5,51950000,66340000,-14390000
456,2722,2019,5,39700000,26150000,13550000
457,416,2019,5,24400000,28800000,-4400000
458,410,2019,5,60270000,12600000,47670000
459,1416,2019,6,5440000,18150000,-12710000
460,1420,2019,6,34000000,10400000,23600000
461,40,2019,6,62250000,17000000,45250000
462,3911,2019,6,500000,7500000,-7000000
463,2969,2019,6,24500000,10470000,14030000
464,1082,2019,6,151000000,99400000,51600000
465,1041,2019,6,160320000,126000000,34320000
466,244,2019,6,27250000,27000000,250000
467,347,2019,6,2600000,14350000,-11750000
468,1160,2019,6,20500000,9850000,10650000
469,162,2019,6,83750000,200000000,-116250000
470,969,2019,6,40000000,20300000,19700000
471,995,2019,6,38500000,18750000,19750000
472,417,2019,6,23110000,52200000,-29090000
473,583,2019,6,105900000,95000000,10900000
474,1421,2019,6,26600000,18700000,7900000
475,273,2019,6,54500000,58100000,-3600000
476,618,2019,6,45850000,13450000,32400000
477,667,2019,6,21500000,11000000,10500000
478,415,2019,6,17150000,14000000,3150000
479,11,2020,2,19150000,86000000,-66850000
480,405,2020,2,2770000,101350000,-98580000
481,1237,2020,2,20600000,28500000,-7900000
482,1132,2020,2,2300000,1100000,1200000
483,631,2020,2,57150000,247200000,-190050000
484,873,2020,2,20000000,22400000,-2400000
485,29,2020,2,4430000,74370000,-69940000
486,931,2020,2,0,37250000,-37250000
487,399,2020,2,0,127800000,-127800000
488,1003,2020,2,53770000,59400000,-5630000
489,31,2020,2,17200000,84050000,-66850000
490,281,2020,2,64000000,173400000,-109400000
491,985,2020,2,19500000,83800000,-64300000
492,762,2020,2,275000,39000000,-38725000
493,350,2020,2,0,62700000,-62700000
494,180,2020,2,26300000,37300000,-11000000
495,148,2020,2,13300000,110500000,-97200000
496,984,2020,2,8100000,42140000,-34040000
497,379,2020,2,45410000,54700000,-9290000
498,543,2020,2,79200000,87590000,-8390000
499,418,2020,3,104200000,0,104200000
500,131,2020,3,149800000,112000000,37800000
501,13,2020,3,83300000,91000000,-7700000
502,368,2020,3,19680000,74350000,-54670000
503,1050,2020,3,26650000,36500000,-9850000
504,3709,2020,3,9750000,22050000,-12300000
505,681,2020,3,28250000,10000000,18250000
506,1049,2020,3,87850000,50000,87800000
507,621,2020,3,0,12000000,-12000000
508,16795,2020,3,0,20500000,-20500000
509,331,2020,3,3450000,9150000,-5700000
510,3368,2020,3,5000000,4000000,1000000
511,150,2020,3,43700000,0,43700000
512,366,2020,3,12100000,9850000,2250000
513,2687,2020,3,0,10100000,-10100000
514,1533,2020,3,150000,2000000,-1850000
515,1108,2020,3,4880000,0,4880000
516,940,2020,3,2500000,3000000,-500000
517,1531,2020,3,7300000,6100000,1200000
518,27,2020,4,22250000,66250000,-44000000
519,16,2020,4,5500000,50000000,-44500000
520,23826,2020,4,77500000,58000000,19500000
521,18,2020,4,0,13500000,-13500000
522,15,2020,4,91000000,46200000,44800000
523,533,2020,4,17750000,4000000,13750000
524,82,2020,4,11100000,22000000,-10900000
525,60,2020,4,37950000,14350000,23600000
526,24,2020,4,17700000,10750000,6950000
527,44,2020,4,10450000,31250000,-20800000
528,89,2020,4,6920000,1700000,5220000
529,33,2020,4,8000000,2000000,6000000
530,39,2020,4,13700000,2000000,11700000
531,3,2020,4,15000000,18500000,-3500000
532,167,2020,4,8400000,10300000,-1900000
533,86,2020,4,11700000,11000000,700000
534,10,2020,4,100000,500000,-400000
535,79,2020,4,7500000,14950000,-7450000
536,800,2020,5,75400000,62040000,13360000
537,4171,2020,5,1000000,11600000,-10600000
538,1025,2020,5,5000000,3150000,1850000
539,1390,2020,5,42660000,34180000,8480000
540,4083,2020,5,0,5490000,-5490000
541,430,2020,5,59890000,55300000,4590000
542,252,2020,5,67290000,64680000,2610000
543,276,2020,5,5400000,18950000,-13550000
544,46,2020,5,82950000,126500000,-43550000
545,506,2020,5,110560000,158010000,-47450000
546,398,2020,5,7850000,41700000,-33850000
547,5,2020,5,52090000,31920000,20170000
548,6195,2020,5,123060000,77250000,45810000
