match_id,team_id,kicker_id,gk_id,gk,kicker
3203524,18,182932,42205,Yann Sommer,Davy Klaassen
3412874,27,38410,17259,Manuel Neuer,Daniel Caligiuri
3203548,1,42783,84938,Timo Horn,André Hahn
2604312,6574,177843,24316,Emiliano Viviano,Domenico Berardi
2604201,6574,177843,44058,Wojciech Szczesny,Domenico Berardi
2871880,79,247459,40680,Sven Ulreich,Chadrac Akolo
2726657,398,26721,257660,Marco Festa,Lucas Biglia
2726848,1390,119235,265077,Luca Crosta,Carlos Bacca
3081239,800,73794,75458,Robin Olsen,Duván Zapata
2726680,1936,124555,35865,Andrea Consigli,Cristiano Biraghi
3614596,506,164771,44058,Wojciech Szczesny,Jordan Veretout
3081263,410,157849,21891,Stefano Sorrentino,Lukasz Teodorczyk
2897345,5,86784,24316,Emiliano Viviano,Ricardo Rodríguez
2726697,1936,146752,22318,Federico Marchetti,Gianluca Caprari
2897209,4083,85393,16633,Alex Cordaz,Nicolas Viola
3081383,1038,84765,256339,Emil Audero,Francesco Caputo
2897510,416,128220,25508,Salvatore Sirigu,Luis Alberto
2726731,430,167727,55282,Ciprian Tatarusanu,Andrea Belotti
2726798,430,197300,28021,Samir Handanovic,Federico Bernardeschi
3433219,12,130394,22141,Antonio Mirante,Gianluca Lapadula
3433421,1025,105521,80894,Lukasz Skorupski,Ciro Immobile
3614815,3522,256361,12907,Alessio Cragno,Daniele Verde
3614814,1038,25488,44058,Wojciech Szczesny,Antonio Candreva
2609680,162,146854,27941,Danijel Subasic,Wissam Ben Yedder
2735657,415,95732,124901,Benjamin Leroy,Martin Braithwaite
3050351,1003,294057,61694,Neil Etheridge,James Maddison
2872386,11,58864,238223,Ederson,Pierre-Emerick Aubameyang
3429801,984,181579,110864,Sam Johnstone,James Ward-Prowse
2718855,681,35773,42373,Diego Alves,Carlos Vela
3080873,150,15799,286415,Pau López,Santi Cazorla
3605056,331,213260,144128,Matías Dituro,Rubén García
2581759,1,50512,59238,Marwin Hitz,Anthony Modeste
3203701,167,152963,84938,Timo Horn,Florian Niederlechner
2604249,416,105521,22318,Federico Marchetti,Ciro Immobile
2871862,82,117674,55089,Oliver Baumann,Maximilian Arnold
2604193,800,30873,35865,Andrea Consigli,Germán Denis
2871491,23826,264956,39015,Ralf Fährmann,Jean-Kévin Augustin
3614594,749,80351,286047,Guglielmo Vicario,Josip Ilicic
2897375,6574,165895,240414,Alex Meret,Matteo Politano
3614545,5,294808,7825,Pepe Reina,Franck Kessié
2735586,273,93720,22628,Benoît Costil,Alexandre Lacazette
2702775,1420,237125,39910,Stéphane Ruffier,Famara Diédhiou
2701636,2969,80173,182891,Thomas Didillon,Frédéric Sammaritano
2701636,2969,38360,190786,Baptiste Reynet,Mevlüt Erdinc
