team_id,team_name
5,AC Mailand
6195,SSC Neapel
130,Parma Calcio 1913
12,AS Rom
1038,Sampdoria Genua
6574,US Sassuolo
2722,SPAL
416,FC Turin
410,Udinese Calcio
800,Atalanta Bergamo
4171,Benevento Calcio
1025,FC Bologna
1390,Cagliari Calcio
4083,FC Crotone
430,AC Florenz
252,Genua CFC
276,Hellas Verona
46,Inter Mailand
506,Juventus Turin
398,Lazio Rom
5,AC Mailand
6195,SSC Neapel
130,Parma Calcio 1913
12,AS Rom
1038,Sampdoria Genua
6574,US Sassuolo
3522,Spezia Calcio
416,FC Turin
410,Udinese Calcio
46,Inter Mailand
5,AC Mailand
800,Atalanta Bergamo
506,Juventus Turin
6195,SSC Neapel
398,Lazio Rom
12,AS Rom
6574,US Sassuolo
1038,Sampdoria Genua
276,Hellas Verona
252,Genua CFC
1025,FC Bologna
410,Udinese Calcio
430,AC Florenz
3522,Spezia Calcio
1390,Cagliari Calcio
416,FC Turin
749,FC Empoli
380,US Salernitana 1919
607,Venezia FC
583,FC Paris Saint-Germain
1041,Olympique Lyon
162,AS Monaco
244,Olympique Marseille
618,AS Saint-Étienne
40,FC Girondins Bordeaux
969,HSC Montpellier
1082,LOSC Lille
273,FC Stade Rennes
855,EA Guingamp
417,OGC Nizza
595,SC Bastia
1162,SM Caen
995,FC Nantes
1421,Stade Reims
1158,FC Lorient
415,FC Toulouse
1420,Angers SCO
1095,ESTAC Troyes
3558,GFC Ajaccio
583,FC Paris Saint-Germain
1041,Olympique Lyon
162,AS Monaco
417,OGC Nizza
1082,LOSC Lille
618,AS Saint-Étienne
1162,SM Caen
273,FC Stade Rennes
1420,Angers SCO
595,SC Bastia
40,FC Girondins Bordeaux
969,HSC Montpellier
244,Olympique Marseille
995,FC Nantes
1158,FC Lorient
855,EA Guingamp
415,FC Toulouse
1159,AS Nancy-Lorraine
2969,Dijon FCO
347,FC Metz
1416,Amiens SC
1420,Angers SCO
40,FC Girondins Bordeaux
1162,SM Caen
2969,Dijon FCO
855,EA Guingamp
1082,LOSC Lille
1041,Olympique Lyon
244,Olympique Marseille
347,FC Metz
162,AS Monaco
969,HSC Montpellier
995,FC Nantes
417,OGC Nizza
583,FC Paris Saint-Germain
273,FC Stade Rennes
618,AS Saint-Étienne
667,RC Straßburg Alsace
415,FC Toulouse
1095,ESTAC Troyes
1416,Amiens SC
1420,Angers SCO
40,FC Girondins Bordeaux
1162,SM Caen
2969,Dijon FCO
855,EA Guingamp
1082,LOSC Lille
1041,Olympique Lyon
244,Olympique Marseille
162,AS Monaco
969,HSC Montpellier
995,FC Nantes
417,OGC Nizza
1160,Nîmes Olympique
583,FC Paris Saint-Germain
1421,Stade Reims
273,FC Stade Rennes
618,AS Saint-Étienne
667,RC Straßburg Alsace
415,FC Toulouse
1416,Amiens SC
1420,Angers SCO
40,FC Girondins Bordeaux
3911,Stade Brest 29
2969,Dijon FCO
1082,LOSC Lille
